"","hitter","launch_angle","exit_velo","BIP","single","double","triple","home_run","woba","woba_bip","whiff_rate","foul_percent","strikeout_percent"
"444","Greiner, Grayson",15,104.405014955824,238,53,15,1,8,0.282537688442211,0.360714285714286,0.321022727272727,0.340909090909091,0.306532663316583
"445","Fraley, Jake",15,106.771708590316,531,113,34,0,33,0.354988123515439,0.406026365348399,0.25974930362117,0.370473537604457,0.226190476190476
"446","Sánchez, Jesús",15,110.311673532644,268,54,26,2,21,0.373543689320388,0.488059701492537,0.26978417266187,0.408872901678657,0.269417475728155
"447","Pache, Cristian",15,105.34379805143,289,53,21,5,8,0.28120728929385,0.354498269896194,0.334281650071124,0.254623044096728,0.271689497716895
"448","Robert, Luis",15,110.32243593565,224,58,23,2,13,0.418652037617555,0.511830357142857,0.284974093264249,0.328151986183074,0.213836477987421
"449","Castillo, Diego",15,104.208186429735,202,39,16,0,14,0.345289855072464,0.433663366336634,0.241900647948164,0.321814254859611,0.228260869565217
"450","Sheets, Gavin",15,107.213850721203,524,96,33,0,28,0.316463414634146,0.364217557251908,0.21585279547063,0.413305024769993,0.206521739130435
"451","Paredes, Isaac",15,104.581302158979,512,77,29,1,32,0.330784844384303,0.34482421875,0.149686520376176,0.449059561128527,0.17479674796748
"452","Marsh, Brandon",15,107.281016377824,552,140,47,13,23,0.33061974789916,0.46875,0.27807486631016,0.393939393939394,0.335436382754995
"453","Julks, Corey",15,105.36659174805,217,56,17,0,8,0.330877742946708,0.41221198156682,0.246935201401051,0.373029772329247,0.241269841269841
"454","Fortes, Nick",15,105.899201973636,314,67,8,1,16,0.304756380510441,0.340286624203822,0.178736517719569,0.337442218798151,0.186480186480186
"455","Clement, Ernie",15,101.262516378668,227,50,13,0,3,0.296289752650177,0.320044052863436,0.167755991285403,0.337690631808279,0.141342756183746
"456","Varsho, Daulton",15,108.019619418177,739,131,47,6,48,0.327715877437326,0.390460081190798,0.226361031518625,0.4207258834766,0.22739981360671
"457","Cabrera, Oswaldo",15,104.572459718161,321,61,20,1,15,0.298148148148148,0.356542056074766,0.242424242424242,0.397306397306397,0.230936819172113
"458","Cruz, Oneil",15,113.603140329247,251,51,15,4,20,0.352469135802469,0.471115537848606,0.314503816793893,0.302290076335878,0.293827160493827
"459","Morel, Christopher",15,109.309984541174,315,66,22,3,31,0.360169491525424,0.511587301587302,0.380324543610548,0.300202839756592,0.324528301886792
"460","Vargas, Miguel",15,104.177743412009,268,37,20,4,10,0.302251184834123,0.32705223880597,0.215877437325905,0.410863509749304,0.230403800475059
"461","Carroll, Corbin",15,108.565877151222,349,66,34,7,22,0.396820809248555,0.467765042979943,0.205949656750572,0.394736842105263,0.208494208494208
"462","B<U+00E1>ez, Javier",15,107.724941634536,300,56,23,3,9,0.298948598130841,0.372833333333333,0.32906976744186,0.322093023255814,0.243559718969555
"463","Ram<U+00ED>rez, Jos<U+00E9>",15,105.915155695388,404,74,33,2,19,0.337788461538462,0.368935643564356,0.1551901336074,0.429599177800617,0.15
"464","Moncada, Yo<U+00E1>n",15,106.701362635377,207,41,12,0,12,0.291384615384615,0.379710144927536,0.283276450511945,0.363481228668942,0.292307692307692
"465","Story, Trevor",16,108.443892162743,1396,285,119,14,105,0.357210455159982,0.473531518624642,0.270493685419059,0.408955223880597,0.283905967450271
"466","Cordero, Franchy",16,112.09084749136,404,93,36,7,22,0.329748603351955,0.475247524752475,0.378640776699029,0.319641523525019,0.346853146853147
"467","Reynolds, Mark",16,107.133230576108,466,94,32,2,36,0.335809987819732,0.438412017167382,0.340865074241446,0.358295674628793,0.304773561811506
"468","Young, Chris",16,104.789132075534,233,40,12,2,11,0.300859598853868,0.342489270386266,0.238938053097345,0.348672566371681,0.232091690544413
"469","Posey, Buster",16,103.993516752482,1126,259,93,2,37,0.359057486631016,0.384413854351687,0.169310071371927,0.384218873909596,0.147727272727273
"470","Torrens, Luis",16,105.183085857716,414,91,22,0,15,0.285507246376812,0.345410628019324,0.24883504193849,0.365330848089469,0.254838709677419
"471","Ruiz, Rio",16,104.747219053571,500,99,33,2,18,0.303706199460916,0.3499,0.280344557556774,0.328112764291308,0.22911051212938
"472","Bonifacio, Jorge",16,106.657437679718,362,74,26,5,22,0.332006920415225,0.419889502762431,0.306122448979592,0.372670807453416,0.275086505190311
"473","Martin, Leonys",16,108.840883020991,532,114,30,3,24,0.311029411764706,0.374436090225564,0.274535809018568,0.372679045092838,0.250614250614251
"474","Headley, Chase",16,103.632389862371,352,80,26,1,11,0.331636363636364,0.386931818181818,0.258510638297872,0.367021276595745,0.241818181818182
"475","Beltrán, Carlos",16,105.063304378831,288,51,24,0,12,0.313959390862944,0.36875,0.189226519337017,0.412983425414365,0.205583756345178
"476","Kinsler, Ian",16,102.550872562965,929,164,52,1,34,0.298127035830619,0.313455328310011,0.153702841173731,0.413600372612948,0.154975530179445
"477","Freeman, Freddie",16,107.646173006112,2173,508,177,11,141,0.408126226291694,0.461274735388863,0.211940298507463,0.427694859038143,0.174311926605505
"478","Happ, Ian",16,107.615582006651,1259,273,97,7,72,0.342409470752089,0.429030976965846,0.29786150712831,0.381619144602851,0.28272007452259
"479","Rua, Ryan",16,109.395373073157,224,54,14,1,14,0.314130434782609,0.447321428571429,0.335453100158982,0.308426073131955,0.330601092896175
